Speaker_ID,Speaker_name,Speaker_party_name,Speaker_gender,Speaker_birth,Stance,Relevant_Speech
ČotrićAleksandar,"Čotrić, Aleksandar",Srpski pokret obnove,M,1966,FOR,"In fulfilling these tasks, this law regulates, emphasizes, and underlines that the police must act in accordance with both the laws we pass in parliament and the international standards in law enforcement that have been accepted, primarily by EU member states and the OSCE. With years of experience in this field, we say that this law is exceptionally democratic, European, and liberal, and we should be trusted on this matter because the Draft Law on Public Gatherings introduces a major innovation: apart from ensuring the right to freedom of assembly, it also stipulates that this right must not limit the rights and freedoms of other citizens, which is perfectly reasonable. These laws will contribute to further democratization of our society, transparency in the work of state bodies, the further development of the rule of law, the continuation of the fight against crime and corruption, alignment of domestic legislation with EU regulations, as well as necessary rationalization in public administration, and they will bring significant savings to the budget of the Republic of Serbia for all the aforementioned reasons."
ĐurovićAleksandra,"Đurović, Aleksandra",Srpska napredna stranka,F,1976,FOR,"A novelty in this law is the formation of a sector for international cooperation and European affairs, which is very important, especially in this period we are currently in. On one hand, we are obligated to align our legislation with the EU, and on the other hand, due to the migrant waves affecting this entire region, it is very important that such a sector has been formed. The Ministry of Internal Affairs had very significant results in this regard in 2015. We have seen that the European Commission has also given positive assessments for the action plan for Chapter 24, which, in fact, pertains to the work of the Ministry of Internal Affairs."
ŠaracSuzana,"Šarac, Suzana",Srpska napredna stranka,F,1981,FOR,"This law introduces a series of innovations in terms of the organizational structure of the police, its powers, rules for career advancement, employee performance control, new means of coercion, and a number of provisions that have resulted from alignment with regulations applicable in the EU."
ŠutanovacDragan,"Šutanovac, Dragan",Demokratska stranka,M,1968,NEUTRAL,"On the other hand, you have attempted to create a new model of policing in the local community, which is something generally accepted worldwide and defined in almost all police forces in Western Europe, but not in the way you have done, which is purely declarative and still fundamentally lacks any real connection with local self-government."
AleksićIrena,"Aleksić, Irena",Srpska napredna stranka,F,1978,FOR,"In conclusion, I want to emphasize that both laws represent a step towards aligning our legislation with EU legislation, which is very important, especially considering that this is a strategic commitment of this Government. More importantly, both laws are designed to exist in the best possible interest and to protect the interests of both this state and our citizens, and therefore, they should be supported."
DragašMirjana,"Dragaš, Mirjana",Socijalistička partija Srbije,F,1950,FOR,"Given the openness of the market and communication, this regulation is very dynamic, and it is no surprise that the rules are constantly changing and new laws are being enacted, which must be aligned with the state of advertising in the market, not just with the modern laws prescribed by the EU with which our legislation is aligned in the process of joining. In 2013, the European Community adopted an EU ICT security strategy, providing certain development guidelines. This law in this area represents our comprehensive alignment with the EU, but as I like to emphasize, it is not important because of the EU; it is important because of us. All such endeavors must primarily aim at establishing a unified, good, and quality system of public administration, a relationship with the citizen, and our protection, either individually or, in this case, the protection of the system."
JevtovićVukojičićMilanka,"Jevtović Vukojičić, Milanka",Srpska napredna stranka,F,1960,FOR,"This is a new law, and both laws are in line with the strategic commitment of the Government of the Republic of Serbia to harmonize our legislation with EU legislation."
LjajićRasim,"Ljajić, Rasim",Socijaldemokratska partija Srbije,M,1964,FOR,"Another novelty concerns, as I have already mentioned, the provisions on misleading and comparative advertising. These existed in the current legal proposal but are now more precisely defined here and fully incorporated from the EU directive. A new provision bans the advertising of electronic cigarettes, and for electronic cigarette advertising, the same rules apply as for the ban on tobacco and cigarette advertising in general, thereby fully complying with the provisions of the Council of Europe's Convention and EU directives. I have already mentioned that we have incorporated everything that will harmonize our legislation in this area with the EU, i.e., EU standards. Another reason is the usual one—when we are adapting and joining the EU, alignment and harmonization with EU standards are required. Here, we are fully aligned with the ICT system security strategy that was adopted last year. We are also aligned with the directive that will soon be adopted in the EU, which relates to network and information security, and the provisions of that directive have already been incorporated into the text of this law."
LjajićRasim,"Ljajić, Rasim",Socijaldemokratska partija Srbije,M,1964,FOR,"We have resorted to a solution, first of all, one that is present in all EU countries. On the other hand, we have adopted a solution that, in practice, allows the ministry responsible for these matters to have executive powers more effectively and successfully, while the National CERT (Computer Emergency Response Team) has all these other powers regarding warnings, analysis, assessing the situation on a global level, and providing recommendations to all institutions in the country on what should be done. Thus, we will not resolve this dilemma with this legal proposal, and it will certainly remain. The representatives, or people who gave those suggestions to give CERT greater executive powers, will continue to advocate for that."
MarjanovićVesna,"Marjanović, Vesna",Demokratska stranka,F,1969,FOR,"The Prime Minister emphasized, among other things, that he needs a full mandate with the support of the people so that Serbia can be ready to join the EU as a partner in making difficult decisions and, among other things, to ensure respect for the civil sector, non-governmental organizations, and the media that write freely and enhance Serbia's reputation in the world. After the EU progress report, in the latest report, where it was clearly stated that the progress in the area of media freedom in the past year was zero, that is, no progress was made, one of the recommendations defined was the strengthening of independent bodies, particularly the Regulatory Authority for Electronic Media (REM). If this government is truly committed to moving towards the EU, this is one of the most important examples where it needs to prove it because if it does not, it not only undermines the independence of the regulatory body and casts doubt on its independence but also damages relations with the majority of civil society and, in doing so, violates the basic rules of the rule of law in Serbia."
OrlićVladimir,"Orlić, Vladimir",Srpska napredna stranka,M,1983,FOR,"Third, the importance of the international aspect was emphasized, both in the context of Serbia's European integration and in the context of interstate cooperation, which is certainly dictated by the dimension of challenges in information and communication security."
OrlićVladimir,"Orlić, Vladimir",Srpska napredna stranka,M,1983,FOR,"Also, I find it commendable that this is a good effort in further harmonizing our regulations with European ones, an important step on our path regarding European integration, but also equally important in addressing some significant practical challenges that were identified in the previous law, which is still in force. The harmonization and alignment of our legal framework with the European one have been carried out in the best possible way."
PešićOlivera,"Pešić, Olivera",Srpska napredna stranka,F,1979,FOR,The adoption of the Law on Information Security represents a step towards harmonizing the legal framework of the Republic of Serbia with the European Union in the field of the information society.
RadenkovićDejan,"Radenković, Dejan",Socijalistička partija Srbije,M,1971,FOR,"It is somewhat symbolic but above all fair that we will adopt a better law in line with the best EU practices that regulate advertising. This is the case in this proposal, and it is aligned, as I have already said, with the EU acquis, other domestic laws, and represents the fundamental systemic law in the field of security. We have used all available achievements; again, it is our fate to use the available achievements of EU countries, and we have sought the best possible ways to choose those most suitable for our country. Above all, in conclusion, knowing that any majority will hardly find more commitment to the reform and transformation of Serbia into a normal European state, as the best, we will continue to contribute to improving legislative activities."
RističevićMarijan,"Rističević, Marijan",Srpska napredna stranka,M,1958,NEUTRAL,"Also, I would like to commend that our law is more stringent regarding alcohol than many European countries, as in some countries, it is even allowed for hard alcoholic beverages, etc. Considering the mentality of our nation, I think this is not a bad thing; for us and the Russians, the rules should be stricter, given our tendencies to consume this ‘mučenica’ (homemade brandy), which is far more accessible and cheaper to us than in European countries."
StojiljkovićIvana,"Stojiljković, Ivana",Srpska napredna stranka,F,1981,FOR,"The new Draft Law on Advertising should address all the shortcomings of the current law, and what is also very important is that it aligns with EU directives."
StojkovićDušica,"Stojković, Dušica",Srpska napredna stranka,F,1979,FOR,"Two years ago, in the National Assembly of the Republic of Serbia, these laws represented progress in aligning with European standards and in fulfilling our obligations in line with the opening of Chapter 10 and the screenings conducted for Chapter 10 concerning the information society and media. These laws were the subject of a wide public debate that lasted for more than two years, and they were supported by the European Commission with a positive opinion and by all relevant international organizations and associations domestically and abroad."
TomićAleksandra,"Tomić, Aleksandra",Srpska napredna stranka,F,1969,FOR,"However, it is important to say that, given Serbia's path towards European integration and that the Stabilization and Association Agreement (SAA) must be implemented, and we provide a report on this approximately every year, and the EU reports on our progress as well—on which step we have reached in the implementation and overall harmonization of European directives—it should be noted that the adoption of these three directives, which are relevant to this field, is very important. These are Directive 114 of 2006, Directive 33 of 2003, and Directive 13 of 2010. In conclusion, regarding this legislative proposal, it underwent a public debate almost a year ago, from January 3 to February 3 of last year, passed the European Commission’s approval, and there are good reasons for this law to be adopted."
ĐurišićMarko,"Đurišić, Marko",Socijaldemokratska stranka,M,1968,FOR,"Dear Minister, esteemed guests from the Ministry, fellow MPs, the two laws before us, according to the opinion of the Parliamentary Group Boris Tadić, SDS – Together for Serbia, Greens of Serbia, represent a good step towards regulating the legal system of the Republic of Serbia, aligning our regulations with European regulations, and, above all, should make life easier for citizens."
StefanovićNebojša,"Stefanović, Nebojša",Srpska napredna stranka,M,1976,NEUTRAL,"I would like to remind you that in many EU countries, trade union organization is not allowed at all, let alone striking."
StefanovićNebojša,"Stefanović, Nebojša",Srpska napredna stranka,M,1976,NEUTRAL,"In this case, we also have the Law on Records, which is currently under review by the European Commission, and the Law on Data Processing of Records in the Ministry of Internal Affairs (MUP), which will define who has access to the databases and data, how they are stored, preserved, and used."
VukićVanja,"Vukić, Vanja",Socijalistička partija Srbije,M,1978,NEUTRAL,"To achieve visa liberalization, allowing citizens to travel to EU countries without visas, technical conditions must be met. These include biometric documents, which began to be issued when Ivica Dačić was the Minister of Internal Affairs, and the necessary laws that need to be adopted are the Law on Asylum, the Law on State Border, and the Law on Foreigners."
ČomićGordana,"Čomić, Gordana",Demokratska stranka,F,1958,NEUTRAL,"Whether this year or next, with the same minister or another, it is only a matter of time. Still, it is simply part of the European changes regarding documents, and it is much more natural for the local self-government to handle driver's licenses and vehicle registrations, as it is closer to the citizens. This is a much smaller shock for many of us who do not know enough about how it is done in Europe, but it is good first for the Ministry of Internal Affairs, it is good for the members of the Ministry of Internal Affairs, it is good for the citizens, and it is good to give local self-government what it can really do, which is to issue driver's licenses and vehicle registrations."
ŠormazDragan,"Šormaz, Dragan",Srpska napredna stranka,M,1967,FOR,"The rapporteur for Serbia in the European Parliament, Mr. McAllister, wrote a six-page report about us and received over 200 amendments in the European Parliament. If we all really want to go to the EU and not just talk here about whether this explanation is better and plead with the minister to accept our amendment to boost our rating, Aleksandar Vučić and the SNS will defeat you again, thoroughly, and because of such behavior, you will be severely defeated in these elections because you are neither behaving democratically nor in accordance with European values."
ŠutanovacDragan,"Šutanovac, Dragan",Demokratska stranka,M,1968,NEUTRAL,"From the experience of those working in the police, regardless of the declared or, let's say, legally proclaimed independence of the police in its actions, unfortunately, the police still have segments that depend on security services and are not completely independent. This is something the European Commission noted in its report on Chapter 24."
AtlagićMarko,"Atlagić, Marko",Srpska napredna stranka,M,1949,NEUTRAL,"The power of knowledge and education for the development of Serbian society, as well as for society as a whole, was best demonstrated by the famous German philosopher Leibniz, who said, I quote: 'Give me upbringing and education, and we will change the character of all of Europe in less than a century,' end quote. This openness of universities to all progressive achievements in education, both in Europe and worldwide, allows this, but only under the condition that the imperative of critical evaluation and the creative adoption of foreign ideas and models into one's pedagogical practice is respected, which requires, in a way, incorporating the European dimension of education into our pedagogical practice."
BogosavljevićBoškovićSnežana,"Bogosavljević-Bošković, Snežana",Socijalistička partija Srbije,F,1964,FOR,"Today is an opportunity to remember that the Bologna Declaration was signed by European ministers of education in 1999, with the primary goal of establishing a unified European area of higher education. For us, an additional motivation was the fact that we are applying for membership in the European Union, and in that sense, we want—and we are also obliged—to align our domestic regulations, domestic laws in all areas, including higher education, with European standards."
FilipovićSrbislav,"Filipović, Srbislav",Srpska napredna stranka,M,1984,NEUTRAL,"We were a country that, until 2011, 2012, and even 2013, was the absolute leader in Europe in terms of youth unemployment."
FilipovskiDubravka,"Filipovski, Dubravka",Srpska napredna stranka,F,1967,FOR,"I agree with your announcements that we have caught the last step with European countries regarding dual education, that informatics must be introduced in schools, and that if we did not introduce that subject this fall, it just wasn't set up correctly. However, I believe that this one year will provide a sufficient framework to assess the technical problems in schools, primarily to start teaching informatics next September much more prepared."
KarićIvan,"Karić, Ivan",Zeleni Srbije,M,1975,NEUTRAL,"The example of the Netherlands, a country with the most developed agriculture in the European Union, shows that it has banned glyphosate and thus placed its regulations above those prescribed by the European Union Commission. This tells us that it is possible to have stricter laws than those of the European Commission or the European Union. All green parties are against glyphosate throughout the European Union, and this issue has been particularly relevant in the European Parliament over the last six months. The World Health Organization associates this herbicide with a possible cause of cancer, and unfortunately, the European Commission has temporarily extended its use until December 31, 2017."
LaketićDarko,"Laketić, Darko",Srpska napredna stranka,M,1975,NEUTRAL,"The least significant reason for supporting this proposal is the fact that the share of people aged 30 to 34 who have higher education in the EU is almost one-third higher than in Serbia. With a share of 36.8% in 2013 and a noticeable increase compared to 2002, the EU still has not met its set goal, which is for that percentage to be 40% by 2020. In 2002, the EU had an average of 24% of highly educated individuals in that age group."
MihajlovskaLjupka,"Mihajlovska, Ljupka",Dosta je bilo,F,1981,NEUTRAL,"Dear colleagues, past, present, and future students, the Law on Higher Education, which was adopted in 2005, was enacted with the aim of a serious and thorough reform of higher education in Serbia, with the goal of establishing competitive and harmonized higher education with that in the European area. It fell short in everything except competing for European projects and in the number of implemented projects and funds received, but unfortunately, not in the results achieved by these projects."
ObradovićBoško,"Obradović, Boško",Srpski pokret Dveri,M,1976,AGAINST,"The statement on the compliance of the Draft Law on Amendments to the Law on Higher Education with EU regulations—does this state not have the right to pass its own laws? Does every law in the Republic Assembly have to have a statement of compliance with EU regulations? I protest against the imposition of laws from outside, against copying laws from the West that are imposed on this society and state, against the lack of alignment of these Western and European laws with our legal tradition, our history, our culture, our identity, our national interests, and everything else that should actually be in the foreground, not the European Union. This has been our problem for these 16 years, that the European Union is in the foreground while our national and state interests, our identity, our heritage, and our achievements are simply pushed to the background. These are the people who are in the classrooms every day, who keep records every day, who work with children every day, and they know education better than the theorists from the EU, better than the non-governmental organizations, better than the pedagogues and psychologists who are reforming our education."
ObradovićBoško,"Obradović, Boško",Srpski pokret Dveri,M,1976,AGAINST,"For you, of course, it is probably most important that you have made a statement here about the compliance of this draft law with EU regulations because this is obviously the most important thing for this Government. The European Union is more important to this Government than the interests of Serbian students, Serbian mothers, new mothers, domestic entrepreneurs, and everything else we have heard in recent days from the Prime Minister, who has not yet apologized for those unprecedented insults to all Serbian mothers and new mothers, whom he accused of taking money for having children."
ObradovićŽarko,"Obradović, Žarko",Socijalistička partija Srbije,M,1960,NEUTRAL,"If we could become part of the European higher education system, where there are 47 countries, and provide the opportunity for our students, teachers, and academic staff to promote their knowledge and abilities, let's say, in different parts of Europe and continue their studies, then there is no reason why we shouldn't also say here—if some things are not right, why are they not right?"
OgnjanovićOlivera,"Ognjanović, Olivera",Srpska napredna stranka,F,1969,FOR,"More importantly, we should focus on creating young people who will, with their knowledge, culture, and abilities, promote the spread of European values in our country. With this amendment to the Law on Higher Education, we will create more necessary professionals, and this amendment is also necessary for further alignment with the Stabilization and Association Agreement with the EU. Knowledge and organization are virtues particularly cherished and cultivated by the European community, and these are needed by a modern state that does not want to hinder access to higher education."
RaškovićIvićSanda,"Rašković Ivić, Sanda",Nova Srbija,F,1956,NEUTRAL,"When final theses are defended, there are always mixed feelings because, alongside the satisfaction and joy that a student has finished school and become an academic citizen, it is also mixed with tears, as many of them already have jobs in Italy, Canada, the USA, Germany, and other European and EU countries, where they go to treat and care for other people. I would like to quote a text by Vladimir Grečić, recently published in Politika, which received a lot of attention. It says that the number of people who emigrated from Serbia to OECD countries—these include Canada, the USA, and 18 European countries—was, on average, 226,000 per year from 2004 to 2013. In 2013, 45,000 people emigrated, and in 2015, we had a record with 58,000 people emigrating from Serbia. A credit system, the ECTS (European Credit Transfer System), is being introduced as a suitable system to promote the broadest exchange of students."
SavićNikola,"Savić, Nikola",Srpska radikalna stranka,M,1959,AGAINST,"However, our European path has destroyed what was left of our education. Or, for such graduates, no one is saying today that one of the most democratic European countries, Switzerland, granted women the right to vote only in 1971, and in one of its cantons, this even happened much later, in 1990. This was done intentionally; it came intentionally from Europe, and, of course, our people in power could not resist it and accepted it."
TepićMarinika,"Tepić, Marinika",Stranka slobode i pravde,F,1974,NEUTRAL,"What also does not hold up is on page 7 of the accompanying materials we received with these proposed amendments, which pertains to the statement of compliance of the Draft Law on Amendments to the Law on Higher Education with EU regulations. Under point 3, it refers to the alignment of regulations with the provisions of the Stabilization and Association Agreement between the European communities and their member states, etc. In Section D—connection with the national program for the integration of the Republic of Serbia into the EU. I know that all this material from the SAA is over 700 pages long; I know it is extensive, but I expected that in this many months of waiting for the Government to start working and come up with proposals before the Members of Parliament, if not the minister, someone could have more thoroughly dealt with the Stabilization and Association Agreement and the National Program for the Adoption of the Acquis for the period from 2014 to 2018."
TomićAleksandra,"Tomić, Aleksandra",Srpska napredna stranka,F,1969,FOR,"However, what is important to say is that, when it comes to economic reforms and fiscal consolidation, we need to constantly compare the percentage of highly educated personnel in Serbia with that of the countries in the region and EU member states. This means a lot of work has been done, especially when we talk about projects led by the ministry—18 projects are underway in cooperation with the European Union, totaling 17 million euros. Still, the Committee on Science and Education and the Committee on European Integration adopted the negotiating position for Chapters 25 and 26, which relate precisely to this area, which is a significant step forward and an indicator of the effort and dedication not only of the Government of the Republic of Serbia but also of parliamentarians."
VukadinovićĐorđe,"Vukadinović, Đorđe",Demokratska stranka Srbije,M,1962,NEUTRAL,"I do not need to emphasize how important the issue of Kosovo and Metohija is, regardless of the fact that a part of our political elite is trying to sweep this issue under the rug and act as if it does not exist. Unfortunately, our friends, with or without quotation marks, from the world and Europe constantly remind us that this matter is still present. Whether we want to admit it or not, the issue of European integration is indeed linked to the question of accepting or reconciling with the independence of Kosovo and Metohija."
VukomanovićDijana,"Vukomanović, Dijana",Socijalistička partija Srbije,F,1967,FOR,"We know what our goal is according to the Education Strategy; we know that we are entering Europe, and it is emphasized at this time that Serbia is ready to open Chapters 25 and 26. The acting assistant minister mentioned that only about 10% of students actually meet the requirement of those famous 60 European transferable credits (ECTS), which is why the criterion of 48% still persists, but the evaluation will show this."
AleksićMiroslav,"Aleksić, Miroslav",Nova Srbija,M,1978,NEUTRAL,"The draft law concerns increasing incentives, that is, the amount of incentives we will give to farmers in the Republic of Serbia so that they can find employment in agriculture, function normally, and be competitive with farmers from European countries."
AleksićMiroslav,"Aleksić, Miroslav",Nova Srbija,M,1978,NEUTRAL,"Out of 300,000 entrepreneurs currently operating in Serbia, only about thirty percent contribute to the gross domestic product, which is about half of what private entrepreneurs in developed EU countries contribute."
BarišićDragana,"Barišić, Dragana",Srpska napredna stranka,F,1975,FOR,"I think it is entirely correct to maintain, for now, the position that surrogate motherhood should be banned, considering that we are still not a sufficiently regulated country, or rather, we are still a poor country to think in that direction, as there would be potential issues of abuse, which is certainly not the goal. This should be considered in a different period, but the fact that the European Parliament adopted a decision to ban surrogate motherhood at the end of 2015 indicates that this law would then be almost contrary to European laws. I would like to highlight that our Government, led by Aleksandar Vučić, and our Ministry of Health managed to stop the decline of healthcare from 2014 onwards and that through good reform laws, we have been able to make progress. As a result, we have improved our score on the European Health Consumer Index and achieved significant progress in three key areas: patient rights, treatment outcomes, and access to healthcare."
